Time,KE,CoordNum,MaxZ,SolidFraction
3.01,1.28375,2.68,0.201568,0.49611
3.02,1.12075,2.69,0.200237,0.499409
3.03,1.07945,2.63,0.200141,0.499649
3.04,1.30876,2.65,0.200033,0.499918
3.05,1.35378,2.7,0.199784,0.500542
3.06,1.27991,2.74,0.199781,0.500549
3.07,1.53635,2.77,0.199984,0.50004
3.08,1.66789,2.8,0.199928,0.50018
3.09,1.48979,2.92,0.19989,0.500276
3.1,1.32931,2.68,0.200223,0.499442
3.11,1.37575,2.8,0.200093,0.499769
3.12,1.17211,3.02,0.199907,0.500231
3.13,0.992285,2.63,0.200296,0.49926
3.14,1.10685,2.48,0.20032,0.499201
3.15,1.26781,2.84,0.200129,0.499679
3.16,1.18557,2.78,0.200232,0.49942
3.17,0.987015,2.74,0.200126,0.499685
3.18,0.911911,2.6,0.199998,0.500006
3.19,0.85111,2.77,0.200049,0.499877
3.2,0.868143,2.89,0.19999,0.500024
3.21,0.809109,2.87,0.200026,0.499936
3.22,0.877399,2.91,0.199913,0.500217
3.23,0.894725,2.83,0.200079,0.499802
3.24,0.884323,2.9,0.200033,0.499917
3.25,0.685038,2.96,0.199959,0.500102
3.26,0.696736,2.92,0.200124,0.499689
3.27,0.814096,3,0.200187,0.499534
3.28,0.987644,2.94,0.200179,0.499553
3.29,0.912206,2.8,0.20023,0.499427
3.3,1.01035,2.85,0.199927,0.500184
3.31,1.11475,2.94,0.199874,0.500315
3.32,1.00183,3.02,0.199912,0.500221
3.33,0.890472,2.69,0.200261,0.499348
3.34,0.9642,2.87,0.200274,0.499317
3.35,1.06216,2.78,0.200108,0.499731
3.36,0.937816,2.94,0.199979,0.500052
3.37,0.948242,2.95,0.19994,0.50015
3.38,0.898926,3,0.200398,0.499006
3.39,0.982313,2.89,0.200664,0.498344
3.4,0.794172,2.72,0.200224,0.499439
3.41,0.676977,2.97,0.199892,0.500269
3.42,0.783649,2.85,0.200074,0.499814
3.43,0.838169,2.89,0.200437,0.498911
3.44,0.873248,2.96,0.200226,0.499435
3.45,0.758222,3.06,0.200217,0.499459
3.46,0.740525,3.08,0.200226,0.499435
3.47,0.812961,2.89,0.20041,0.498978
3.48,0.848345,3.02,0.200607,0.498488
3.49,0.997299,3.12,0.200193,0.499517
3.5,0.870331,3.23,0.200015,0.499962
